courseId,schoolYearId,teacherId1,teacherId2,teacherId3,Grade,Section,CourseName
183,12,25,,,6,A,ថ្នាក់ ទី​ 6A ល្ងាច
184,12,20,11,,7,A,ថ្នាក់ ទី​ 7A ព្រឹក
185,12,20,11,,7,A,ថ្នាក់ ទី​ 7A ល្ងាច
186,12,9,,,8,A,ថ្នាក់ ទី​ 8A ព្រឹក
187,12,9,,,8,A,ថ្នាក់ ទី​ 8A ល្ងាច
188,12,17,,,9,A,ថ្នាក់ ទី​ 9A ព្រឹក
189,12,17,,,9,A,ថ្នាក់ ទី​ 9A ល្ងាច
190,12,11,21,,10,A,ថ្នាក់ ទី​ 10A ព្រឹក
191,12,11,21,,10,A,ថ្នាក់ ទី​ 10A ល្ងាច
192,12,11,21,,11,A,ថ្នាក់ ទី​ 11A ព្រឹក
193,12,11,21,,11,A,ថ្នាក់ ទី​ 11A ល្ងាច
194,12,11,21,,12,A,ថ្នាក់ ទី​ 12A ព្រឹក
195,12,11,21,,12,A,ថ្នាក់ ទី​ 12A ល្ងាច
196,13,13,,,1,A,ថ្នាក់ ទី​ 1A ព្រឹក
197,13,13,,,1,A,ថ្នាក់ ទី​ 1A ល្ងាច
198,13,16,,,2,A,ថ្នាក់ ទី​ 2A ព្រឹក
199,13,16,,,2,A,ថ្នាក់ ទី​ 2A ល្ងាច
200,13,18,,,3,A,ថ្នាក់ ទី​ 3A ព្រឹក
201,13,18,,,3,A,ថ្នាក់ ទី​ 3A ល្ងាច
202,13,12,,,4,A,ថ្នាក់ ទី​ 4A ព្រឹក
203,13,12,,,4,A,ថ្នាក់ ទី​ 4A ល្ងាច
204,13,24,,,5,A,ថ្នាក់ ទី​ 5A ព្រឹក
205,13,24,,,5,A,ថ្នាក់ ទី​ 5A ល្ងាច
206,13,26,,,6,A,ថ្នាក់ ទី​ 6A ព្រឹក
207,13,26,,,6,A,ថ្នាក់ ទី​ 6A ល្ងាច
208,13,20,11,,7,A,ថ្នាក់ ទី​ 7A ព្រឹក
209,13,20,11,,7,A,ថ្នាក់ ទី​ 7A ល្ងាច
210,13,9,,,8,A,ថ្នាក់ ទី​ 8A ព្រឹក
211,13,9,,,8,A,ថ្នាក់ ទី​ 8A ល្ងាច
212,13,17,,,9,A,ថ្នាក់ ទី​ 9A ព្រឹក
213,13,17,,,9,A,ថ្នាក់ ទី​ 9A ល្ងាច
214,13,11,21,,10,A,ថ្នាក់ ទី​ 10A ព្រឹក
215,13,11,21,,10,A,ថ្នាក់ ទី​ 10A ល្ងាច
216,13,11,21,,11,A,ថ្នាក់ ទី​ 11A ព្រឹក
217,13,11,21,,11,A,ថ្នាក់ ទី​ 11A ល្ងាច
218,13,11,21,,12,A,ថ្នាក់ ទី​ 12A ព្រឹក
219,13,11,21,,12,A,ថ្នាក់ ទី​ 12A ល្ងាច
220,14,27,13,,1,A,ថ្នាក់ ទី​ 1A ព្រឹក
221,14,27,13,,1,A,ថ្នាក់ ទី​ 1A ល្ងាច
222,14,16,,,2,A,ថ្នាក់ ទី​ 2A ព្រឹក
223,14,16,,,2,A,ថ្នាក់ ទី​ 2A ល្ងាច
224,14,18,,,3,A,ថ្នាក់ ទី​ 3A ព្រឹក
225,14,18,,,3,A,ថ្នាក់ ទី​ 3A ល្ងាច
226,14,12,,,4,A,ថ្នាក់ ទី​ 4A ព្រឹក
227,14,12,,,4,A,ថ្នាក់ ទី​ 4A ល្ងាច
228,14,24,,,5,A,ថ្នាក់ ទី​ 5A ព្រឹក
229,14,24,,,5,A,ថ្នាក់ ទី​ 5A ល្ងាច
